,Cell names,p_vals
467,NK x SPP1_Macrophages,0.6008703173256739
468,Endocardial_Endo x LYVE_FOLR_Macrophages,0.7972695868090811
469,Fib_3 x vCM_4,0.5315734062062072
470,Monocytes x Pericyte_1,0.5506796824021428
471,Fib_SCARA5 x Fib_SCARA5,0.5493490210632137
472,Arterial_Endo x Capillary_Endo,0.963858424775006
473,Arterial_Endo x vCM_4,0.6124460936160265
474,CD8 x Fib_3,0.5593355040626504
475,healthy_CM x vSMCs_1,0.6854853187060441
476,CCL18_Macrophages x vCM_4,0.712441920843853
477,Fib_3 x Mast,0.5716603617035659
478,Myofib x Neuronal,0.6519406883872416
479,LYVE_PLTP_Macrophages x vCM_4,0.5790529691966695
480,NK_T x NK_T,0.6294559093200578
481,Neuronal x Purkinje_fibers,0.5818434635114583
482,LYVE_PLTP_Macrophages x Mast,0.6677993582723569
483,Fib_SCARA5 x LYVE_FOLR_Macrophages,0.6920379965031422
484,Mast x Monocytes,0.6876073108303031
485,Endocardial_Endo x Purkinje_fibers,0.5959189030690146
486,Capillary_Endo x Neuronal,0.62762523464312
487,CD8 x Pericyte_1,0.6774880524226722
488,Endocardial_Endo x Endocardial_Endo,0.9661197021042384
489,Neuronal x vSMCs_2,0.6561613524041854
490,Endocardial_Endo x vCM_4,0.9595929814909039
491,Capillary_Endo x Mast,0.6433758175017565
492,CD4 x Fib_3,0.6332849616226279
493,Endocardial_Endo x Fib_3,0.7628984767574092
494,CCL18_Macrophages x LYVE_PLTP_Macrophages,0.7499338194829015
495,CCL18_Macrophages x SPP1_Macrophages,0.7641807570522725
496,Pericyte_1 x vCM_4,0.6397957099265117
497,NK_T x SPP1_Macrophages,0.7441744298404243
498,healthy_CM x prolif,0.8768151561940178
499,CCL18_Macrophages x Monocytes,0.7681233998973342
500,Monocytes x NK_T,0.7375972130166089
501,CCL18_Macrophages x NK,0.7229124417269738
502,LYVE_FOLR_Macrophages x LYVE_FOLR_Macrophages,0.6578955465079139
503,Myofib x vCM_4,0.6599919933872058
504,damaged_CM x prolif,0.874812153131028
505,Neuronal x prolif,0.7581507072559734
506,CCL18_Macrophages x Mast,0.7913531804411194
507,Lymphatic_Endo x intermediate_CM,0.7666970025602016
508,Monocytes x Monocytes,0.7487512390993223
509,Pericyte_1 x vSMCs_2,0.7003193421386249
510,Venous_Endo x vCM_3,0.702851548253637
511,Myofib x Pericyte_1,0.7554497225793049
512,Fib_3 x Purkinje_fibers,0.7100044393127563
513,intermediate_CM x prolif,0.7103817280508741
514,prolif x vCM_3,0.8402239079340076
515,Arterial_Endo x Neuronal,0.7181918911371274
516,vCM_3 x vSMCs_1,0.7210671444817152
517,LYVE_PLTP_Macrophages x NK_T,0.7945058261378323
518,NK x Neuronal,0.7542255040260861
